Scale,N,Approximation,Error
0,100,1.17,23.8728
0,600,0.855,9.47756
0,1100,0.949091,0.484239
0,1600,0.93375,1.13997
0,2100,0.951429,0.731737
0,2600,1.02115,8.11384
0,3100,0.955161,1.12694
0,3600,0.9925,5.08014
0,4100,0.919756,2.62156
0,4600,0.911739,3.47035
0,5100,0.981176,3.88127
0,5600,0.856607,9.30741
0,6100,0.967869,2.47234
0,6600,0.927273,1.82574
0,7100,0.898732,4.84743
0,7600,0.955658,1.17951
0,8100,0.982222,3.99199
0,8600,0.909419,3.71603
0,9100,0.882198,6.59801
0,9600,0.935625,0.941453
0,10100,0.924059,2.16595
0,10600,0.940755,0.398348
0,11100,0.92027,2.56712
0,11600,0.95431,1.03684
0,12100,0.917107,2.90199
0,12600,0.952857,0.882986
0,13100,0.937099,0.785369
0,13600,0.9225,2.33105
0,14100,0.906383,4.03743
0,14600,0.963493,2.00907
0,15100,0.936954,0.800784
0,15600,0.953654,0.967337
0,16100,0.952547,0.850106
0,16600,0.915181,3.10597
0,17100,0.945789,0.134702
0,17600,0.913295,3.30558
0,18100,0.921381,2.4495
0,18600,0.956129,1.22939
0,19100,0.979162,3.66802
0,19600,0.955102,1.12066
0,20100,0.886119,6.18282
0,20600,0.97034,2.73395
0,21100,0.925592,2.00364
0,21600,0.95875,1.50689
0,22100,0.940724,0.401602
0,22600,0.915929,3.02673
0,23100,0.950649,0.649238
0,23600,0.932797,1.24091
0,24100,0.93473,1.03618
0,24600,0.954512,1.05821
0,25100,0.960239,1.66454
0,25600,0.935859,0.916639
0,26100,0.926897,1.86557
0,26600,0.915226,3.10123
0,27100,0.955461,1.15869
0,27600,0.9525,0.845174
0,28100,0.935872,0.915314
0,28600,0.910385,3.61376
0,29100,0.963093,1.96668
0,29600,0.934966,1.0112
0,30100,0.928704,1.67417
0,30600,0.916176,3.00055
0,31100,0.934727,1.03656
0,31600,0.939304,0.551963
0,32100,0.928037,1.74479
0,32600,0.936166,0.884213
0,33100,0.957915,1.41853
0,33600,0.919286,2.67136
0,34100,0.942757,0.186401
0,34600,0.958006,1.42809
0,35100,0.930256,1.50985
0,35600,0.942978,0.16301
0,36100,0.94687,0.249082
0,36600,0.947951,0.363533
0,37100,0.959191,1.55362
0,37600,0.946915,0.253855
0,38100,0.954331,1.039
0,38600,0.929378,1.60282
0,39100,0.911279,3.51909
0,39600,0.917045,2.90855
0,40100,0.930748,1.45779
0,40600,0.931921,1.33359
0,41100,0.928905,1.65292
0,41600,0.955817,1.19639
