Scale,N,Approximation,Error
0,100,1.44,52.4588
0,600,0.99,4.81546
0,1100,0.924545,2.11449
0,1600,1.01812,7.79317
0,2100,0.985714,4.36171
0,2600,0.889615,5.81268
0,3100,0.995806,5.43021
0,3600,0.9175,2.86042
0,4100,0.913171,3.31878
0,4600,0.925435,2.02033
0,5100,0.956471,1.26556
0,5600,0.965893,2.26313
0,6100,0.922131,2.3701
0,6600,0.961364,1.7836
0,7100,0.977324,3.47339
0,7600,0.960395,1.68102
0,8100,0.894444,5.30141
0,8600,0.863372,8.59117
0,9100,0.961319,1.77884
0,9600,0.968438,2.53254
0,10100,0.947228,0.286976
0,10600,0.961981,1.84898
0,11100,0.947027,0.265727
0,11600,0.95819,1.44756
0,12100,1.00264,6.1542
0,12600,0.951429,0.731737
0,13100,0.953588,0.960343
0,13600,0.931103,1.42022
0,14100,0.93,1.537
0,14600,0.97089,2.79224
0,15100,0.933377,1.17941
0,15600,0.944423,0.00996371
0,16100,0.95087,0.672553
0,16600,0.973193,3.036
0,17100,0.967895,2.47508
0,17600,0.955227,1.13392
0,18100,0.96116,1.76207
0,18600,0.955645,1.17817
0,19100,0.98199,3.96735
0,19600,0.947755,0.342812
0,20100,0.922836,2.2955
0,20600,0.943252,0.133905
0,21100,0.92218,2.36492
0,21600,0.94,0.478253
0,22100,0.952941,0.891883
0,22600,0.933053,1.21375
0,23100,0.924156,2.15574
0,23600,0.943475,0.110385
0,24100,0.904108,4.2783
0,24600,0.935854,0.917244
0,25100,0.938008,0.689158
0,25600,0.961523,1.80052
0,26100,0.964138,2.07733
0,26600,0.952105,0.803382
0,27100,0.939188,0.564203
0,27600,0.941087,0.363173
0,28100,0.94452,0.000252727
0,28600,0.944371,0.0155166
0,29100,0.953196,0.918849
0,29600,0.953818,0.98467
0,30100,0.934385,1.0727
0,30600,0.931471,1.3813
0,31100,0.933569,1.15912
0,31600,0.907975,3.86891
0,32100,0.952991,0.897122
0,32600,0.938374,0.65038
0,33100,0.935891,0.913265
0,33600,0.935625,0.941453
0,34100,0.917683,2.84102
0,34600,0.94396,0.0590406
0,35100,0.927436,1.80847
0,35600,0.942472,0.216542
0,36100,0.969058,2.59826
0,36600,0.948197,0.389568
0,37100,0.936873,0.809289
0,37600,0.949787,0.557962
0,38100,0.912992,3.33769
0,38600,0.934741,1.03505
0,39100,0.948568,0.428853
0,39600,0.938636,0.622627
0,40100,0.960599,1.7026
0,40600,0.956305,1.24807
0,41100,0.956058,1.22192
0,41600,0.943269,0.132126
0,42100,0.928005,1.74824
0,42600,0.948169,0.386634
0,43100,0.942181,0.247345
0,43600,0.952638,0.859744
0,44100,0.941837,0.283791
0,44600,0.956099,1.22618
0,45100,0.934723,1.03697
0,45600,0.960395,1.68102
0,46100,0.951735,0.764218
0,46600,0.942103,0.2556
0,47100,0.947006,0.26354
0,47600,0.953319,0.93192
0,48100,0.942661,0.196509
0,48600,0.960556,1.69805
0,49100,0.931711,1.35587
0,49600,0.962782,1.9338
0,50100,0.948862,0.460033
0,50600,0.943221,0.137196
0,51100,0.968689,2.55916
0,51600,0.929477,1.59239
0,52100,0.955797,1.19419
0,52600,0.929601,1.57926
0,53100,0.961186,1.76484
0,53600,0.940131,0.464427
0,54100,0.949908,0.570704
0,54600,0.940879,0.385177
0,55100,0.935608,0.943254
0,55600,0.935935,0.908605
0,56100,0.959037,1.53732
0,56600,0.925283,2.03644
0,57100,0.959895,1.62811
0,57600,0.93875,0.610596
0,58100,0.925869,1.97434
0,58600,0.931638,1.36355
0,59100,0.925584,2.00456
0,59600,0.967047,2.38532
0,60100,0.943727,0.0836474
0,60600,0.957178,1.34048
0,61100,0.930491,1.48501
0,61600,0.940909,0.382004
0,62100,0.948551,0.427048
0,62600,0.928466,1.69936
0,63100,0.941791,0.288653
0,63600,0.938491,0.638064
0,64100,0.94507,0.0585502
0,64600,0.94709,0.272372
0,65100,0.933871,1.12716
0,65600,0.932378,1.28522
0,66100,0.94357,0.100246
0,66600,0.949459,0.523259
0,67100,0.951237,0.711451
0,67600,0.944334,0.0193608
0,68100,0.949692,0.54784
0,68600,0.947886,0.356702
0,69100,0.95275,0.871604
0,69600,0.948233,0.393383
0,70100,0.957004,1.32206
0,70600,0.933144,1.20408
0,71100,0.933038,1.21535
0,71600,0.944372,0.0154235
0,72100,0.962164,1.86831
0,72600,0.93843,0.644502
0,73100,0.950971,0.683321
0,73600,0.950014,0.581927
0,74100,0.949312,0.50762
0,74600,0.95441,1.04741
0,75100,0.9447,0.0193976
0,75600,0.958333,1.46277
0,76100,0.967766,2.46146
0,76600,0.95158,0.747731
0,77100,0.935253,0.980847
0,77600,0.955786,1.19309
0,78100,0.960384,1.6799
0,78600,0.950382,0.620899
0,79100,0.945512,0.105326
0,79600,0.931432,1.38537
0,80100,0.943483,0.109478
0,80600,0.941315,0.339014
0,81100,0.948163,0.385972
0,81600,0.94864,0.436468
0,82100,0.938806,0.604632
0,82600,0.934104,1.10248
0,83100,0.945379,0.0912504
0,83600,0.933158,1.20266
0,84100,0.931034,1.42747
0,84600,0.936809,0.81615
0,85100,0.930353,1.49967
0,85600,0.933435,1.17336
0,86100,0.957282,1.35149
0,86600,0.932321,1.29126
0,87100,0.935752,0.928006
0,87600,0.947979,0.366565
0,88100,0.925233,2.04173
0,88600,0.964402,2.10527
0,89100,0.947677,0.334518
0,89600,0.951027,0.689199
0,90100,0.952642,0.860156
0,90600,0.945298,0.0826695
0,91100,0.947519,0.317837
0,91600,0.940186,0.458604
0,92100,0.959316,1.56681
0,92600,0.945875,0.143729
0,93100,0.930644,1.46876
0,93600,0.94625,0.18346
0,94100,0.939022,0.581765
0,94600,0.944524,0.000754565
0,95100,0.94306,0.154285
0,95600,0.943023,0.158194
0,96100,0.94898,0.472521
0,96600,0.929348,1.60604
0,97100,0.950608,0.64482
0,97600,0.939928,0.485847
0,98100,0.939266,0.555959
0,98600,0.941531,0.316113
0,99100,0.940323,0.444066
0,99600,0.940663,0.408096
5,100,1.69,78.9274
5,600,1.40833,49.1062
5,1100,0.921818,2.40324
5,1600,1.05625,11.8296
5,2100,1.04619,10.7646
5,2600,0.715,24.2999
5,3100,0.70871,24.9659
5,3600,1.2675,34.1955
5,4100,0.741951,21.4465
5,4600,1.06543,12.8021
5,5100,0.927843,1.76535
5,5600,0.875179,7.34117
5,6100,0.941967,0.269976
5,6600,1.07545,13.8629
5,7100,0.856901,9.27625
5,7600,1.13408,20.0697
5,8100,1.21012,28.1209
5,8600,1.08081,14.4303
5,9100,0.854286,9.55318
5,9600,1.00344,6.23814
5,10100,0.970495,2.75039
5,10600,1.13198,19.8476
5,11100,0.822162,12.9542
5,11600,0.874138,7.45135
5,12100,1.13132,19.7778
5,12600,1.14008,20.705
5,13100,0.928855,1.65823
5,13600,1.00654,6.56705
5,14100,0.994823,5.32606
5,14600,0.983904,4.17006
5,15100,0.984901,4.27557
5,15600,1.0725,13.5501
5,16100,0.976211,3.35558
5,16600,0.804277,14.8478
5,17100,0.978421,3.58954
5,17600,0.93142,1.38661
5,18100,0.840331,11.0306
5,18600,0.790484,16.3082
5,19100,1.11487,18.0359
5,19600,0.862245,8.71051
5,20100,0.958507,1.48121
5,20600,0.910631,3.58767
5,21100,0.832986,11.8083
5,21600,0.931065,1.42426
5,22100,1.04765,10.9188
5,22600,0.874912,7.36945
5,23100,0.907186,3.95239
5,23600,0.887966,5.9873
5,24100,0.855519,9.42265
5,24600,0.996138,5.46533
5,25100,0.882032,6.61558
5,25600,1.06945,13.2275
5,26100,0.977739,3.51738
5,26600,0.927594,1.79173
5,27100,1.02273,8.28079
5,27600,0.97971,3.72603
5,28100,0.860036,8.94442
5,28600,0.945455,0.0992422
5,29100,1.03375,9.447
5,29600,0.976318,3.36684
5,30100,1.0387,9.97199
5,30600,0.92232,2.35008
5,31100,0.950965,0.682618
5,31600,0.877089,7.13895
5,32100,0.931869,1.3391
5,32600,0.782791,17.1226
5,33100,0.873082,7.56319
5,33600,0.794702,15.8615
5,34100,0.946598,0.22033
5,34600,0.928035,1.74507
5,35100,0.91,3.65448
5,35600,0.930449,1.48941
5,36100,0.917562,2.85382
5,36600,1.02046,8.04086
5,37100,0.933827,1.13176
5,37600,0.939388,0.543017
5,38100,1.00247,6.13541
5,38600,0.923808,2.19254
5,39100,0.99844,5.70902
5,39600,0.913283,3.30691
5,40100,0.855536,9.42079
5,40600,0.82835,12.2991
5,41100,0.970414,2.74176
5,41600,1.02781,8.81882
5,42100,0.975463,3.27638
5,42600,0.916408,2.97599
5,43100,0.988121,4.61648
5,43600,0.930275,1.50786
5,44100,1.0117,7.113
5,44600,0.784372,16.9552
5,45100,0.951796,0.77064
5,45600,0.974715,3.19716
5,46100,0.909154,3.74405
5,46600,0.975558,3.28641
5,47100,0.918556,2.74859
5,47600,0.958613,1.49243
5,48100,1.02595,8.6212
5,48600,0.970185,2.71758
5,49100,0.922444,2.33698
5,49600,0.98129,3.89333
5,50100,1.04571,10.7136
5,50600,0.965237,2.19371
5,51100,0.886341,6.15941
5,51600,0.979283,3.6808
5,52100,0.966641,2.34235
5,52600,0.992795,5.11134
5,53100,0.945254,0.0780347
5,53600,0.90806,3.85991
5,54100,0.952773,0.87404
5,54600,0.965714,2.24423
5,55100,0.987623,4.56374
5,55600,0.933147,1.20376
5,56100,0.858556,9.10106
5,56600,0.898746,4.84603
5,57100,0.908634,3.79911
5,57600,0.912483,3.39163
5,58100,0.994802,5.32387
5,58600,1.05265,11.448
5,59100,1.018,7.78029
5,59600,0.99245,5.07481
5,60100,0.989817,4.79608
5,60600,0.978861,3.63616
5,61100,0.868511,8.04713
5,61600,0.979432,3.69656
5,62100,0.925282,2.03653
5,62600,0.988083,4.6125
5,63100,0.929366,1.60411
5,63600,1.03101,9.15696
5,64100,1.00451,6.35154
5,64600,0.95226,0.819771
5,65100,1.05138,11.3143
5,65600,1.03306,9.37483
5,66100,1.00224,6.11125
5,66600,0.895751,5.16311
5,67100,0.952042,0.796655
5,67600,0.9725,2.96266
5,68100,1.0001,5.88508
5,68600,1.01252,7.19994
5,69100,0.868234,8.07637
5,69600,0.912989,3.33807
5,70100,0.920942,2.49606
5,70600,0.931176,1.41253
5,71100,0.941266,0.344235
5,71600,0.937053,0.790257
5,72100,0.888363,5.94524
5,72600,0.933457,1.17096
5,73100,0.885458,6.25281
5,73600,0.934552,1.0551
5,74100,0.960175,1.6578
5,74600,0.890308,5.73932
5,75100,0.940639,0.410584
5,75600,0.945595,0.114138
5,76100,0.854993,9.47826
5,76600,1.02371,8.38422
5,77100,0.97323,3.0399
5,77600,0.953892,0.992525
5,78100,0.930474,1.48684
5,78600,0.961107,1.75642
5,79100,1.0234,8.35174
5,79600,1.01697,7.67113
5,80100,0.92834,1.71279
5,80600,0.989677,4.7813
5,81100,0.916893,2.92472
5,81600,0.94027,0.449709
